,S.No,actual,pred,alive,plod,Name,title,male,culture,dateOfBirth,DateoFdeath,mother,father,heir,house,spouse,book1,book2,book3,book4,book5,isAliveMother,isAliveFather,isAliveHeir,isAliveSpouse,isMarried,isNoble,age,numDeadRelations,boolDeadRelations,isPopular,popularity,isAlive,Allegiances,Death Year,Book of Death,Death Chapter,Book Intro Chapter,Gender,Nobility,GoT,CoK,SoS,FfC,DwD
128,386,0,1,0.746,0.254,brown bernarr,,0,,,299.0,,,,Night's Watch,,0,1,1,0,0,,,,,0,0,,0,0,0,0.023411371,0,Night's Watch,299.0,3.0,33.0,23.0,1,0,0,1,1,0,0
129,388,1,1,0.8909999999999999,0.109,bryen,,1,,220.0,,,,,House Baelish,,0,0,1,0,0,,,,,0,0,85.0,0,0,0,0.016722408,1,None,,,,68.0,1,0,0,0,1,0,0
130,392,1,0,0.494,0.506,byan votyris,,1,Norvoshi,,,,,,,,1,0,0,0,0,,,,,0,0,,0,0,0,0.0,1,None,,,,54.0,1,0,1,0,0,0,0
131,393,0,1,0.7240000000000001,0.276,byam flint,Ser,1,,,299.0,,,,Night's Watch,,0,0,1,0,0,,,,,0,1,,0,0,0,0.02006689,0,Night's Watch,299.0,3.0,33.0,33.0,1,0,0,0,1,0,0
132,395,1,1,0.9890000000000001,0.011000000000000001,byron,Ser,0,,,,,,,House Baelish,,0,0,0,1,1,,,,,0,1,,0,0,0,0.02006689,1,Arryn,,,,41.0,1,0,0,0,0,1,0
133,399,1,1,0.703,0.297,cadwyn,Ser,0,,,,,,,House Lannister,,0,1,0,0,0,,,,,0,1,,0,0,0,0.0,1,House Lannister,,,,47.0,1,0,0,1,0,0,0
134,413,0,1,0.574,0.426,chiggen,,1,,,298.0,,,,,,1,0,0,0,0,,,,,0,0,,0,0,0,0.016722408,0,Lannister,298.0,1.0,42.0,31.0,1,0,1,0,0,0,0
135,420,1,1,0.7240000000000001,0.276,colen of greenpools,Ser,1,,,,,,,House Baratheon,,0,1,0,0,0,,,,,0,1,,0,0,0,0.016722408,1,House Baratheon,,,,22.0,1,1,0,1,0,0,0
136,422,0,1,0.9079999999999999,0.092,conn,,1,Vale mountain clans,,298.0,,,,Stone Crows,,1,0,0,0,0,,,,,0,0,,0,0,0,0.013377926000000002,0,Lannister,298.0,1.0,62.0,42.0,1,0,1,0,0,0,0
137,427,1,0,0.09300000000000001,0.907,cregan karstark,,1,Northmen,249.0,,,,,House Karstark,,0,0,0,0,1,,,,,0,0,56.0,0,0,0,0.066889632,1,Stark,,,,44.0,1,1,0,0,0,0,1
138,428,1,0,0.193,0.807,cutjack,,1,,,,,,,,,0,1,0,0,0,,,,,0,0,,0,0,0,0.033444816,1,None,,,,5.0,1,0,0,1,0,0,0
139,442,1,1,0.855,0.145,dalla (dragonstone),,0,,,,,,,House Baratheon of Dragonstone,,0,1,0,0,0,,,,,0,0,,0,0,0,0.006688963000000001,1,Baratheon,,,,0.0,0,0,0,1,0,0,0
140,449,0,1,0.9329999999999999,0.067,del,,0,Free Folk,283.0,299.0,,,,,,0,0,1,1,0,,,,,0,0,16.0,0,0,0,0.013377926000000002,0,Wildling,299.0,3.0,41.0,41.0,1,0,0,0,1,0,0
141,453,1,1,0.997,0.003,denys drumm,,1,Ironborn,,,,,,House Drumm,,0,0,0,1,0,,,,,0,0,,0,0,0,0.016722408,1,Greyjoy,,,,19.0,1,1,0,0,0,1,0
142,456,1,1,0.92,0.08,dhazzar,Cupbearer,0,Ghiscari,,,,,,,,0,0,0,0,1,,,,,0,1,,0,0,0,0.013377926000000002,1,None,,,,2.0,1,1,0,0,0,0,1
143,457,0,0,0.193,0.807,dick follard,,1,,,299.0,,,,Night's Watch,,0,0,1,0,0,,,,,0,0,,0,0,0,0.030100334,0,Night's Watch,299.0,3.0,55.0,41.0,1,0,0,0,1,0,0
144,458,1,1,0.976,0.024,dickon manwoody,,1,,,,,,,House Manwoody,,0,0,1,1,0,,,,,0,0,,0,0,0,0.026755853,1,Martell,,,,38.0,1,1,0,0,1,0,0
145,459,0,0,0.183,0.8170000000000001,dobber,,1,,,299.0,,,,,,0,1,0,0,0,,,,,0,0,,0,0,0,0.026755853,0,None,299.0,2.0,14.0,5.0,1,0,0,1,0,0,0
146,460,1,1,0.996,0.004,donnel drumm,,1,Ironborn,,,,,,House Drumm,,0,0,0,1,0,,,,,0,0,,0,0,0,0.016722408,1,Greyjoy,,,,19.0,1,1,0,0,0,1,0
147,462,0,0,0.106,0.894,donella hornwood,Hornwood,0,Northmen,249.0,299.0,,,,House Manderly,Halys Hornwood,0,1,0,0,1,,,,0.0,1,1,50.0,0,0,0,0.096989967,0,Stark,299.0,2.0,35.0,16.0,0,1,0,1,0,0,0
148,463,1,1,0.813,0.187,donnel hill,,1,,,,,,,Night's Watch,,0,0,1,1,1,,,,,0,0,,0,0,0,0.043478261,1,Night's Watch,,,,0.0,1,0,0,0,1,0,1
149,464,1,1,0.769,0.231,donnis,,0,Northmen,,,,,,House Stark,,1,0,0,0,0,,,,,0,0,,0,0,0,0.006688963000000001,1,House Stark,,,,7.0,1,0,1,0,0,0,0
150,465,1,1,0.7240000000000001,0.276,donyse,Septa,0,,,,,,,,,0,0,1,0,0,,,,,0,0,,0,0,0,0.0,1,None,,,,72.0,0,0,0,0,1,0,0
151,467,0,1,0.746,0.254,dornish dilly,,0,,,299.0,,,,Night's Watch,,0,0,1,0,0,,,,,0,0,,0,0,0,0.003344482,0,Night's Watch,299.0,3.0,55.0,55.0,1,0,0,0,1,0,0
152,469,1,1,0.946,0.054000000000000006,draqaz,Cupbearer,0,Ghiscari,,,,,,,,0,0,0,0,1,,,,,0,1,,0,0,0,0.016722408,1,None,,,,2.0,1,1,0,0,0,0,1
153,470,0,1,0.769,0.231,drennan,,1,Ironborn,,299.0,,,,House Greyjoy,,0,1,0,0,0,,,,,0,0,,0,0,0,0.013377926000000002,0,House Greyjoy,299.0,2.0,50.0,50.0,1,0,0,1,0,0,0
154,471,1,1,0.7829999999999999,0.217,dudley,Ser,1,,,,,,,,,0,0,1,0,0,,,,,0,1,,0,0,0,0.0,1,Stark,299.0,3.0,34.0,34.0,1,0,0,0,1,0,0
155,476,0,0,0.44299999999999995,0.557,dykk harlaw,,1,,,299.0,,,,House Harlaw,,0,1,0,0,0,,,,,0,0,,0,0,0,0.010033445,0,Greyjoy,299.0,2.0,66.0,66.0,1,0,0,1,0,0,0
156,477,0,1,0.7020000000000001,0.298,easy,,1,,,300.0,,,,Night's Watch,,0,0,1,0,0,,,,,0,0,,0,0,0,0.003344482,0,Night's Watch,300.0,3.0,55.0,55.0,1,0,0,0,1,0,0
157,483,1,0,0.13699999999999998,0.863,eggon,,1,,,,,,,House Clegane,,0,1,0,0,0,,,,,0,0,,0,0,0,0.013377926000000002,1,None,,,,30.0,1,0,0,1,0,0,0
158,487,1,1,0.996,0.004,eldred codd,,1,Ironborn,,,,,,House Codd,,0,0,0,1,0,,,,,0,0,,0,0,0,0.016722408,1,Greyjoy,,,,18.0,1,1,0,0,0,1,0
159,490,1,1,0.759,0.24100000000000002,elyas willum,,1,,,,,,,House Willum,,0,1,0,0,0,,,,,0,0,,0,0,0,0.013377926000000002,1,Baratheon,,,,22.0,1,1,0,1,0,0,0
160,494,1,1,0.7959999999999999,0.204,emrick,,1,,,,,,,Night's Watch,,0,0,1,1,1,,,,,0,0,,0,0,0,0.043478261,1,Night's Watch,,,,75.0,1,0,0,0,1,0,1
161,495,1,1,0.773,0.22699999999999998,endehar,,0,,,,,,,,,0,1,0,0,0,,,,,0,0,,0,0,0,0.0,1,Greyjoy,,,,56.0,1,0,0,1,0,0,0
162,497,1,0,0.2,0.8,enger,,0,,,,,,,House Tully,,0,1,0,0,0,,,,,0,0,,0,0,0,0.0,1,House Tully,,,,39.0,1,0,0,1,0,0,0
163,498,1,1,0.951,0.049,erik ironmaker,Lord Steward of the Iron Islands,1,Ironborn,211.0,,,,,House Ironmaker,Asha Greyjoy,0,0,0,1,1,,,,1.0,1,1,94.0,0,0,0,0.050167224,1,Greyjoy,,,,19.0,1,1,0,0,0,1,0
164,499,1,1,0.759,0.24100000000000002,erreck,Maester,1,,,,,,,,,0,0,1,0,0,,,,,0,1,,0,0,0,0.003344482,1,None,,,,12.0,1,0,0,0,1,0,0
165,502,1,1,0.9229999999999999,0.077,erryk (guard),,0,,,,,,,House Tyrell,,0,0,0,0,0,,,,,0,0,,0,0,0,0.0,1,House Tyrell,,,,6.0,1,0,0,0,1,1,0
166,503,1,1,0.813,0.187,esgred,,1,,,,,,,,,0,1,0,0,0,,,,,0,0,,0,0,0,0.0,1,Greyjoy,,,,24.0,1,0,0,1,0,0,0
167,506,1,1,0.987,0.013000000000000001,ezzara,Blue Grace,0,Ghiscari,,,,,,,,0,0,0,0,1,,,,,0,1,,0,0,0,0.006688963000000001,1,Targaryen,,,,30.0,0,0,0,0,0,0,1
168,512,0,1,0.5429999999999999,0.457,fogo,Khalakka,1,Dothraki,,298.0,,,,,,1,0,0,0,0,,,,,0,1,,0,0,0,0.02006689,0,None,298.0,1.0,61.0,46.0,1,1,1,0,0,0,0
169,513,1,1,0.7929999999999999,0.207,fornio,,1,,,,,,,Night's Watch,,0,0,1,0,0,,,,,0,0,,0,0,0,0.010033445,1,Night's Watch,,,,33.0,1,0,0,0,1,0,0
170,515,0,0,0.213,0.787,frenya,,1,Free Folk,,300.0,,,,,,0,0,0,0,1,,,,,0,0,,0,0,0,0.043478261,0,Wildling,300.0,5.0,69.0,37.0,0,0,0,0,0,0,1
171,516,1,1,0.988,0.012,frynne,,0,,,,,,,,,0,0,0,1,0,,,,,0,0,,0,0,0,0.0,1,Martell,,,,40.0,0,0,0,0,0,1,0
172,517,1,0,0.19899999999999998,0.8009999999999999,gage,,0,,,,,,,House Stark,,1,1,1,0,0,,,,,0,0,,0,0,0,0.033444816,1,House Stark,,,,4.0,1,1,0,1,0,0,0
173,526,1,1,0.802,0.198,gariss,,1,,,,,,,House Stark,,0,1,0,0,0,,,,,0,0,,0,0,0,0.0,1,House Stark,,,,50.0,1,0,0,1,0,0,0
174,527,1,1,0.9890000000000001,0.011000000000000001,garrett paege,,1,,,,,,,House Paege,,0,0,0,1,1,,,,,0,0,,0,0,0,0.013377926000000002,1,Lannister,,,,30.0,1,1,0,0,0,1,0
175,529,0,0,0.374,0.626,garth of oldtown,,0,,,299.0,,,,Night's Watch,,0,0,1,0,0,,,,,0,0,,0,0,0,0.02006689,0,Night's Watch,299.0,3.0,33.0,33.0,1,0,0,0,1,0,0
176,532,0,0,0.303,0.6970000000000001,gelmarr,,1,,,299.0,,,,House Greyjoy,,0,1,0,0,1,,,,,0,0,,0,0,0,0.026755853,0,House Greyjoy,299.0,2.0,56.0,50.0,1,0,0,1,0,0,0
177,533,1,1,0.7120000000000001,0.28800000000000003,gerren,,0,,,,,,,,,0,1,0,0,0,,,,,0,0,,0,0,0,0.016722408,1,None,299.0,2.0,19.0,14.0,1,0,0,1,0,0,0
178,535,1,0,0.006999999999999999,0.993,ghael,Lord,1,Astapori,,,,,,,,0,0,1,0,1,,,,,0,1,,0,0,0,0.023411371,1,None,,,,71.0,1,0,0,0,1,0,1
179,536,1,1,0.9840000000000001,0.016,gillam,Brother,1,,,,,,,,,0,0,0,1,0,,,,,0,1,,0,0,0,0.010033445,1,None,,,,31.0,1,0,0,0,0,1,0
180,537,0,1,0.659,0.341,gladden wylde,Ser,1,,,298.0,,,,House Wylde,,1,0,0,0,0,,,,,0,1,,0,0,0,0.016722408,0,Stark,298.0,1.0,55.0,43.0,1,1,1,0,0,0,0
181,539,1,1,0.99,0.01,goady,,0,,,,,,,Night's Watch,,0,0,1,1,1,,,,,0,0,,0,0,0,0.016722408,1,Night's Watch,,,,0.0,1,0,0,0,1,0,0
182,540,1,1,0.71,0.29,godwyn,,1,,,,,,,House Lannister,,1,0,0,0,0,,,,,0,0,,0,0,0,0.0,1,House Lannister,,,,32.0,1,0,1,0,0,0,0
183,544,0,1,0.518,0.48200000000000004,grazdan,Good Master,1,Astapori,,299.0,,,,,,0,0,1,0,0,,,,,0,1,,0,0,0,0.013377926000000002,0,None,299.0,3.0,27.0,27.0,1,1,0,0,1,0,0
184,545,1,0,0.004,0.996,grazdan zo galare,,1,Meereenese,,,,,,House of Galare,,0,0,0,0,1,,,,,0,0,,0,0,0,0.02006689,1,None,,,,2.0,1,1,0,0,0,0,1
185,551,1,1,0.848,0.152,grigg,,0,Free Folk,,,,,,,,0,0,1,1,0,,,,,0,0,,0,0,0,0.006688963000000001,1,Wildling,,,,30.0,1,0,0,0,1,0,0
186,552,1,1,0.941,0.059000000000000004,grisel,,0,,,,,,,House Baelish,,0,0,1,0,0,,,,,0,0,,0,0,0,0.003344482,1,None,,,,68.0,0,0,0,0,1,0,0
187,560,1,1,0.9590000000000001,0.040999999999999995,gwin goodbrother,,0,Ironborn,,,,,,House Goodbrother,,0,0,0,1,0,,,,,0,0,,0,0,0,0.026755853,1,Greyjoy,,,,1.0,0,1,0,0,0,1,0
188,563,1,1,0.997,0.003,gyles farwynd,,1,Ironborn,,,,,,House Farwynd of the Lonely Light,,0,0,0,1,0,,,,,0,0,,0,0,0,0.010033445,1,Greyjoy,,,,19.0,1,1,0,0,0,1,0
189,565,1,1,0.946,0.054000000000000006,gyles grafton,,1,,,,,,,House Grafton,,0,0,0,1,0,,,,,0,0,,0,0,0,0.016722408,1,Arryn,,,,41.0,1,1,0,0,0,1,0
190,568,0,0,0.303,0.6970000000000001,gynir,,1,,,299.0,,,,House Greyjoy,,0,1,0,0,1,,,,,0,0,,0,0,0,0.026755853,0,House Greyjoy,299.0,2.0,56.0,50.0,1,0,0,1,0,0,0
191,570,1,1,0.997,0.003,gysella goodbrother,,0,Ironborn,,,,,,House Goodbrother,,0,0,0,1,0,,,,,0,0,,0,0,0,0.026755853,1,Greyjoy,,,,1.0,0,1,0,0,0,1,0
192,571,0,1,0.6659999999999999,0.33399999999999996,hali,,0,Free Folk,,298.0,,,,,,1,0,0,0,0,,,,,0,0,,0,0,0,0.02006689,0,Wildling,298.0,1.0,37.0,37.0,0,0,1,0,0,0,0
193,572,1,0,0.267,0.733,haldon,,1,,,,,,,House Targaryen,,0,0,0,0,1,,,,,0,0,,0,0,0,0.127090301,1,House Targaryen,,,,8.0,1,0,0,0,0,0,1
194,574,0,1,0.988,0.012,hamish the harper,,0,,,300.0,,,,,,0,0,1,1,1,,,,,0,0,,0,0,0,0.02006689,0,None,300.0,5.0,43.0,32.0,1,0,0,0,1,1,0
195,575,0,0,0.301,0.6990000000000001,halys hornwood,Hornwood,1,Northmen,,298.0,,,,House Hornwood,Donella Manderly,1,1,0,1,0,,,,1.0,1,1,,0,0,0,0.107023411,0,Stark,298.0,1.0,62.0,53.0,1,1,1,0,0,0,0
196,576,0,1,0.982,0.018000000000000002,harghaz,,1,Ghiscari,,300.0,,,,,,0,0,0,0,1,,,,,0,0,,0,0,0,0.023411371,0,None,300.0,5.0,70.0,52.0,1,0,0,0,0,0,1
197,577,1,0,0.193,0.807,hareth (mole's town),,1,,,,,,,Night's Watch,,0,0,0,0,0,,,,,0,0,,0,0,0,0.050167224,1,Night's Watch,,,,64.0,1,0,0,0,1,0,1
198,582,1,1,0.94,0.06,harmund sharp,,1,Ironborn,,,,,,House Sharp,,0,0,0,1,0,,,,,0,0,,0,0,0,0.010033445,1,Greyjoy,,,,19.0,1,1,0,0,0,1,0
199,585,0,1,0.804,0.196,harra,,0,,,299.0,,,,House Whent,,0,1,0,0,0,,,,,0,0,,0,0,0,0.016722408,0,None,299.0,2.0,64.0,26.0,0,0,0,1,0,0,0
200,586,0,1,0.935,0.065,harrag sharp,,0,Ironborn,,299.0,,,,House Sharp,,0,1,0,0,0,,,,,0,0,,0,0,0,0.016722408,0,Greyjoy,299.0,5.0,19.0,66.0,1,1,0,1,0,1,0
201,605,0,0,0.23199999999999998,0.768,heward,,0,northmen,,298.0,,,,House Stark,,1,0,0,0,0,,,,,0,0,,0,0,0,0.02006689,0,House Stark,298.0,1.0,35.0,35.0,1,0,1,0,0,0,0
202,608,1,1,0.7020000000000001,0.298,hod,,1,,,,,,,,,0,1,0,0,0,,,,,0,0,,0,0,0,0.003344482,1,None,,,,5.0,1,0,0,1,0,0,0
203,610,1,1,0.8370000000000001,0.163,holger,,0,Vale mountain clans,,,,,,Stone Crows,,0,1,0,0,0,,,,,0,0,,0,0,0,0.003344482,1,None,,,,49.0,1,0,0,1,0,0,0
204,611,1,1,0.7090000000000001,0.29100000000000004,hop-robin,,1,,,,,,,Night's Watch,,0,0,1,1,1,,,,,0,0,,0,0,0,0.033444816,1,Night's Watch,,,,75.0,1,0,0,0,1,0,1
205,615,1,1,0.659,0.341,husband,,1,,,,,,,,Sharna,0,0,1,1,0,,,,1.0,1,0,,0,0,0,0.043478261,1,None,,,,11.0,1,0,0,0,1,0,0
206,620,1,1,0.8220000000000001,0.17800000000000002,jaggot,,0,Vale mountain clans,,,,,,Stone Crows,,1,0,0,0,0,,,,,0,0,,0,0,0,0.0,1,None,,,,42.0,1,0,1,0,0,0,0
207,624,0,1,0.983,0.017,jate,,0,,,300.0,,,,,,0,0,0,1,0,,,,,0,0,,0,0,0,0.0,0,House Lannister,,4.0,44.0,44.0,1,0,0,0,0,1,0
208,625,1,1,0.745,0.255,jate blackberry,,1,,,,,,,House Blackberry,,0,0,1,0,0,,,,,0,0,,0,0,0,0.010033445,1,House Baratheon,,3.0,10.0,10.0,1,0,0,0,1,0,0
209,637,1,0,0.385,0.615,jeyne westerling,Winterfell,0,Westermen,283.0,,,,,House Westerling,Robb Stark,0,0,1,1,0,,,,0.0,1,1,22.0,0,0,1,0.424749164,1,Stark,,,,14.0,0,1,0,0,1,1,0
210,638,1,1,0.993,0.006999999999999999,jocelyn swyft,,0,,,,,,,House Swyft,,0,0,0,1,1,,,,,0,0,,0,0,0,0.016722408,1,Lannister,,,,3.0,0,1,0,0,0,1,1
211,639,1,1,0.6920000000000001,0.308,jodge,,1,,,,,,,House Lannister,,0,1,0,0,0,,,,,0,0,,0,0,0,0.003344482,1,House Lannister,,,,30.0,1,0,0,1,0,0,0
212,644,1,1,0.898,0.102,jommy,,1,,,,,,,House Baratheon,,0,1,0,0,0,,,,,0,0,,0,0,0,0.003344482,1,House Baratheon,,,,0.0,1,0,0,1,0,0,0
213,652,0,1,0.847,0.153,jon umber (smalljon),,1,Northmen,,299.0,,,,House Umber,,1,1,1,1,1,,,,,0,0,,0,0,0,0.070234114,0,Stark,299.0,3.0,51.0,63.0,1,1,1,0,1,0,0
214,653,1,1,0.624,0.376,jon umber (greatjon),Last Hearth,1,Northmen,,,,,,House Umber,,1,1,1,1,1,,,,,0,1,,0,0,0,0.18394648800000002,1,Stark,,,,51.0,1,1,1,1,1,0,0
215,657,1,1,0.99,0.01,joseran,Maester,0,,,,,,,,,0,0,0,1,0,,,,,0,1,,0,0,0,0.003344482,1,Greyjoy,,,,11.0,1,0,0,0,0,1,0
216,658,1,0,0.122,0.878,joseth,,1,,,,,,,House Stark,,1,1,0,0,0,,,,,0,0,,0,0,0,0.030100334,1,House Stark,,,,37.0,1,0,1,1,0,0,0
217,660,1,1,0.574,0.426,joss,,1,,,,,,,,,1,0,0,0,0,,,,,0,0,,0,0,0,0.003344482,1,None,,,,43.0,1,0,1,0,0,0,0
218,663,1,1,0.7829999999999999,0.217,josua willum,,1,,,,,,,House Willum,,0,1,0,0,0,,,,,0,0,,0,0,0,0.013377926000000002,1,Baratheon,,,,22.0,1,1,0,1,0,0,0
219,665,1,1,0.9279999999999999,0.07200000000000001,jothos slynt,,1,,,,,,,House Slynt,,0,0,1,0,0,,,,,0,0,,0,0,0,0.023411371,1,Lannister,,,,66.0,1,1,0,0,1,0,0
220,666,0,0,0.12,0.88,jyck,,1,,,298.0,,,,House Lannister,,1,0,0,0,0,,,,,0,0,,0,0,0,0.030100334,0,House Lannister,298.0,1.0,31.0,21.0,1,0,1,0,0,0,0
221,669,1,1,0.9470000000000001,0.053,kella,,0,,,,,,,House Baelish,,0,0,1,0,0,,,,,0,0,,0,0,0,0.003344482,1,None,,,,68.0,0,0,0,0,1,0,0
222,671,0,1,0.975,0.025,kenned,,0,Ironborn,,299.0,,,,,,0,1,0,0,0,,,,,0,0,,0,0,0,0.006688963000000001,0,House Greyjoy,299.0,2.0,66.0,66.0,1,0,0,1,0,0,0
223,672,1,1,0.737,0.263,ketter,,0,,,,,,,Night's Watch,,1,0,0,0,0,,,,,0,0,,0,0,0,0.0,1,Night's Watch,,,,52.0,1,0,1,0,0,0,0
224,674,1,1,0.995,0.005,kojja mo,,0,Summer Isles,,,,,,,,0,0,0,1,0,,,,,0,0,,0,0,0,0.016722408,1,None,,,,35.0,0,0,0,0,0,1,0
225,676,0,0,0.193,0.807,koss,,1,,,299.0,,,,,,0,1,0,0,0,,,,,0,0,,0,0,0,0.036789298,0,Night's Watch,299.0,2.0,14.0,5.0,1,0,0,1,0,0,0
226,677,0,1,0.514,0.486,kromm,,0,ironborn,,299.0,,,,House Greyjoy,,0,1,0,0,0,,,,,0,0,,0,0,0,0.006688963000000001,0,House Greyjoy,299.0,2.0,66.0,56.0,1,0,0,1,0,0,0
227,678,0,0,0.212,0.7879999999999999,kurz,,1,,,299.0,,,,,,0,1,0,0,0,,,,,0,0,,0,0,0,0.036789298,0,Night's Watch,299.0,2.0,19.0,5.0,1,0,0,1,0,0,0
228,684,1,1,0.847,0.153,lamprey,,1,,,,,,,House Baratheon of Dragonstone,,0,0,1,0,0,,,,,0,0,,0,0,0,0.010033445,1,Baratheon,,,,25.0,1,0,0,0,1,0,0
229,687,1,1,0.971,0.028999999999999998,lanna (happy port),,0,Braavosi,286.0,,,,,Happy Port,,0,0,0,1,0,,,,,0,0,19.0,0,0,0,0.026755853,1,None,,,,34.0,0,0,0,0,0,1,0
230,688,1,1,0.9640000000000001,0.036000000000000004,larraq,,1,Ghiscari,,,,,,,,0,0,0,0,1,,,,,0,0,,0,0,0,0.02006689,1,Targaryen,,,,59.0,1,0,0,0,0,0,1
231,690,1,1,0.8240000000000001,0.17600000000000002,lem,,1,,,,,,,Brotherhood without banners,,0,0,1,1,0,,,,,0,0,,0,0,0,0.08361204,1,None,,,,13.0,1,0,0,0,1,1,0
232,692,1,1,0.7020000000000001,0.298,lennocks,,1,,,,,,,,,0,0,1,0,0,,,,,0,0,,0,0,0,0.003344482,1,None,,,34.0,34.0,1,0,0,0,1,0,0
233,696,1,1,0.998,0.002,lenwood tawney,,1,Ironborn,,,,,,House Tawney,,0,0,0,1,0,,,,,0,0,,0,0,0,0.010033445,1,Greyjoy,,,,18.0,1,0,0,0,0,1,0
234,702,1,1,0.677,0.32299999999999995,lewis lanster,,1,,,,,,,Windblown,,0,0,0,0,1,,,,,0,0,,0,0,0,0.006688963000000001,1,None,,,,25.0,1,0,0,0,0,0,1
235,703,1,1,0.81,0.19,lewys piper,,1,Rivermen,,,,,,House Piper,,0,0,0,1,1,,,,,0,0,,0,0,0,0.033444816,1,Lannister,,,,27.0,1,1,0,0,0,1,0
236,709,1,1,0.982,0.018000000000000002,lorcas,,1,,241.0,,,,,,,0,0,0,1,0,,,,,0,0,64.0,0,0,0,0.010033445,1,None,,,,45.0,1,0,0,0,0,1,0
237,712,0,1,0.759,0.24100000000000002,lorren,,1,,,299.0,,,,,,0,1,0,0,0,,,,,0,0,,0,0,0,0.023411371,0,Greyjoy,299.0,2.0,66.0,37.0,1,0,0,1,0,0,0
238,716,0,0,0.42700000000000005,0.573,lucan,,1,,,299.0,,,,House Whent,,0,1,0,0,0,,,,,0,0,,0,0,0,0.013377926000000002,0,None,299.0,2.0,64.0,38.0,1,0,0,1,0,0,0
239,722,1,1,0.988,0.012,luco prestayn,,0,Braavosi,,,,,,,,0,0,0,1,0,,,,,0,0,,0,0,0,0.003344482,1,None,,,,22.0,1,0,0,0,0,1,0
240,725,1,1,0.773,0.22699999999999998,luke of longtown,,0,,,,,,,Night's Watch,,0,0,0,0,1,,,,,0,0,,0,0,0,0.013377926000000002,1,Night's Watch,,,,35.0,1,0,0,0,0,0,1
241,728,0,1,0.97,0.03,luton,,1,Northmen,,300.0,,,,House Bolton,,0,0,0,0,1,,,,,0,0,,0,0,0,0.023411371,0,None,300.0,5.0,51.0,37.0,1,0,0,0,0,0,1
242,739,1,1,0.8109999999999999,0.18899999999999997,maerie (goodwife),Goodwife,0,,,,,,,,,0,0,1,0,0,,,,,0,1,,0,0,0,0.003344482,1,None,299.0,3.0,34.0,34.0,0,0,0,0,1,0,0
243,740,0,1,0.76,0.24,maerie (whore),,0,,,299.0,,,,,,0,0,1,0,0,,,,,0,0,,0,0,0,0.003344482,0,None,299.0,3.0,34.0,34.0,0,0,0,0,1,0,0
244,744,1,1,0.767,0.233,malliard,Wisdom,1,,,,,,,Alchemists' Guild,,0,1,0,0,0,,,,,0,1,,0,0,0,0.006688963000000001,1,Lannister,,,,20.0,1,0,0,1,0,0,0
245,746,1,1,0.674,0.326,mallor,,0,,,,,,,House Lannister,,1,0,0,0,0,,,,,0,0,,0,0,0,0.006688963000000001,1,House Lannister,,,,63.0,1,0,1,0,0,0,0
246,752,1,1,0.907,0.09300000000000001,marei,,1,,280.0,,,,,Chataya's brothel,,0,1,1,1,1,,,,,0,0,25.0,0,0,0,0.043478261,1,None,,,,29.0,0,0,0,1,0,0,0
247,754,1,1,0.985,0.015,maris,,0,Free folk,,,,,,,,0,0,0,0,1,,,,,0,0,,0,0,0,0.006688963000000001,1,Wildling,,,,58.0,0,0,0,0,0,0,1
248,757,0,0,0.374,0.626,maslyn,,0,,,299.0,,,,Night's Watch,,0,0,1,0,0,,,,,0,0,,0,0,0,0.013377926000000002,0,Night's Watch,299.0,3.0,18.0,0.0,1,0,0,0,1,0,0
249,758,1,1,0.7040000000000001,0.29600000000000004,mathos mallarawan,,0,Qartheen,,,,,,,,0,1,0,0,0,,,,,0,0,,0,0,0,0.016722408,1,None,,,,40.0,1,1,0,1,0,0,0
250,759,1,1,0.965,0.035,matrice,,0,,,,,,,House Baratheon of Dragonstone,,0,1,0,0,0,,,,,0,0,,0,0,0,0.003344482,1,Baratheon,,,,0.0,0,0,0,1,0,0,0
251,764,1,1,0.767,0.233,mebble,,1,,,,,,,,,0,1,0,0,0,,,,,0,0,,0,0,0,0.006688963000000001,1,None,,,,47.0,1,0,0,1,0,0,0
252,765,1,1,0.767,0.233,meha,,0,Free Folk,,,,,,,,0,0,0,0,1,,,,,0,0,,0,0,0,0.006688963000000001,1,Wildling,,,,0.0,0,0,0,0,0,0,1
253,766,1,1,0.997,0.003,mela,,0,,,,,,,House Arryn,,0,0,0,1,1,,,,,0,0,,0,0,0,0.010033445,1,House Arryn,,,,23.0,0,0,0,0,0,1,0
254,770,1,1,0.746,0.254,meliana,,0,,,,,,,,,0,0,1,0,0,,,,,0,0,,0,0,0,0.0,1,Stark,,,,69.0,0,0,0,0,1,0,0
255,772,1,1,0.9890000000000001,0.011000000000000001,mellei,,0,,,,,,,House Martell,,0,0,0,1,0,,,,,0,0,,0,0,0,0.010033445,1,House Martell,,,,40.0,0,0,0,0,0,1,0
256,773,1,1,0.7,0.3,melly,,0,,,,,,,Brotherhood Without Banners,,0,0,1,0,0,,,,,0,0,,0,0,0,0.003344482,1,None,,,,34.0,0,0,0,0,1,0,0
257,777,0,1,0.904,0.096,mero,,1,Braavosi,,299.0,,,,Second Sons,,0,0,1,0,1,,,,,0,0,,0,0,0,0.046822742,0,None,299.0,3.0,57.0,42.0,1,0,0,0,1,0,0
258,780,1,1,0.932,0.068,miklaz,Cupbearer,0,Ghiscari,,,,,,,,0,0,0,0,1,,,,,0,1,,0,0,0,0.016722408,1,None,,,,2.0,1,1,0,0,0,0,1
